"[1.1449257907153738, 1.0131739984011146]"
"[1.1431571111261458, 5.897687279535225]"
"[1.14329016741603, 5.912216542439242]"
"[1.143432497741627, 5.9266939774457486]"
"[1.1435736631583628, 5.9411729630016765]"
"[1.143708830039527, 5.958073883600674]"
"[1.1438840779498507, 5.972318126505244]"
"[1.1440320484430404, 5.988985169236415]"
"[1.1442316198285336, 6.002519147006909]"
"[1.1442950741719442, 6.017135854277039]"
"[1.1445118383463901, 6.031448605152935]"
"[1.1447228528948714, 6.048849678064521]"
"[1.1446954901093331, 6.060918309334803]"
"[1.1449237789488076, 6.07805429241217]"
"[1.145119538132261, 6.095148499620026]"
"[1.1451969268449753, 6.104288907410797]"
"[1.1454507278191053, 6.121951749083557]"
"[1.1455046643189735, 6.133380179080266]"
"[1.1457344523084634, 6.1480174157152]"
"[1.1458185946567774, 6.162396970623868]"
"[1.1459782966080985, 6.1767216073713636]"
"[1.1461848622547846, 6.193763431863017]"
"[1.1462477264329107, 6.208883988975556]"
"[1.1464611964943627, 6.22590727037919]"
"[1.1466059963577586, 6.240302284792838]"
"[1.146701441959724, 6.25716475297305]"
"[1.1468977869560564, 6.271928125469603]"
"[1.147094464083466, 6.286438941089294]"
"[1.1472467285711145, 6.300603388597817]"
"[1.147467882746092, 6.317614005544451]"
"[1.1475738048572306, 6.329783631705906]"
"[1.147562179692949, 6.344901021542945]"
"[1.1477881506780379, 6.361457044571731]"
"[1.1479169109670189, 6.377840942897855]"
"[1.1480330574586246, 6.392561203852948]"
"[1.148295331587408, 6.409860579492599]"
"[1.1483808473065034, 6.424594818978655]"
"[1.1485795044403608, 6.441992545416296]"
"[1.1487659565762514, 6.459294158196892]"
"[1.148998251786216, 6.474433418339849]"
"[1.1491314340413457, 6.489518248045662]"
"[1.1493136458952335, 6.506584157965001]"
"[1.1493349878909915, 6.524027945862056]"
"[1.1495121320432329, 6.541423948042692]"
"[1.14970299016531, 6.55885565699934]"
"[1.1486946240383167, 6.591608952658003]"
"[1.1486926622121734, 6.591656678533262]"
"[1.1498400462847236, 6.587644660507757]"
"[1.149766113243069, 6.595748965821261]"
"[1.1496724055564183, 6.607417299633907]"
"[1.149794514554704, 6.603871941936125]"
"[1.1500740153977898, 6.610807349933958]"
"[1.1500467784689599, 6.625140150497417]"
"[1.1501134084744442, 6.6391497924207]"
"[1.1501346875739407, 6.656253122224412]"
"[1.1502215796000825, 6.671094336163593]"
"[1.1503632526804066, 6.679591748157089]"
"[1.1504129202665532, 6.69795466089005]"
"[1.15035661360875, 6.709595412582663]"
"[1.1503431580835677, 6.724330109299909]"
"[1.1504213414322355, 6.735857558253861]"
"[1.1505500160106585, 6.75338981485139]"
"[1.1505564196854614, 6.768075968700209]"
"[1.1506187290692882, 6.785076497723589]"
"[1.1505512578912553, 6.800226848149838]"
"[1.1506254771123492, 6.817438570176339]"
"[1.1507508910276019, 6.832325308558147]"
"[1.1506413035372476, 6.844611305586091]"
"[1.1507092469167037, 6.861652699417592]"
"[1.1508056020262982, 6.876580115651664]"
"[1.1508616476878264, 6.893618089749523]"
"[1.1507607521454293, 6.908626572061745]"
"[1.1508170125275083, 6.925869905813552]"
"[1.150686052324209, 6.938015127694046]"
"[1.1509456114588685, 6.955664869651044]"
"[1.1508581856523545, 6.969639972645436]"
"[1.150998642000782, 6.987371326206145]"
"[1.150922121693228, 7.004537636479839]"
"[1.1506985361975124, 7.021702830041189]"
"[1.1504008894769981, 7.033827425813157]"
"[1.1505715693870098, 7.051314536556781]"
"[1.1504807272716084, 7.0658890812965796]"
"[1.1504609069130607, 7.0808892735297935]"
"[1.1503369090250735, 7.097992843491387]"
"[1.15016285808182, 7.115320102794386]"
"[1.150152129345095, 7.130293223042277]"
"[1.1500136276315849, 7.147819009809034]"
"[1.149955072078269, 7.1648904679934144]"
"[1.1499457685654009, 7.182019735492164]"
"[1.149860443842719, 7.197137615982209]"
"[1.1497326731159174, 7.214648360255675]"
"[1.1497161770300792, 7.229637469514793]"
"[1.1497169046272766, 7.246643761969682]"
"[1.1495929340448339, 7.263999555791819]"
"[1.1494864252206143, 7.281353907032569]"
"[1.1494275237947094, 7.296383146448319]"
"[1.1493366403377232, 7.313709697271384]"
"[1.149251864492457, 7.330684178679585]"
"[1.1492187763437924, 7.345412283978933]"
"[1.1491245785873496, 7.357412291124978]"
"[1.1490921705511714, 7.374663376485736]"
"[1.1491380746139108, 7.391507898469878]"
"[1.149078677033884, 7.4084734627189475]"
"[1.148929034295512, 7.423539015870934]"
"[1.148908365412137, 7.440657145315969]"
"[1.1489219817846126, 7.457500433527698]"
"[1.1487953377521871, 7.474633745821475]"
"[1.1487138340798508, 7.49178001011002]"
"[1.148641549458738, 7.50686979302857]"
"[1.1485675194817668, 7.523700298352519]"
"[1.1487223000711657, 7.538470021162826]"
"[1.1486243270290308, 7.550782420180961]"
"[1.1484355163740532, 7.565737618619819]"
"[1.1484085378990427, 7.582338796485221]"
"[1.1484831912187972, 7.597156514669848]"
"[1.1484662043748324, 7.614056815030241]"
"[1.1485092278473992, 7.628809075919862]"
"[1.1482822661740903, 7.644034764456829]"
"[1.1485092297747623, 7.661205177577228]"
"[1.148402408602681, 7.677976597180922]"
"[1.1484979897038852, 7.693063725390214]"
"[1.1483831962586342, 7.70829852748899]"
"[1.148351060374838, 7.725240073414645]"
"[1.1485818272363544, 7.737522784252274]"
"[1.1483808223225964, 7.754499694745945]"
"[1.1483827803293551, 7.771586444652766]"
"[1.14823846000149, 7.786681444826353]"
"[1.1483111869736922, 7.804076265234717]"
"[1.148414886483907, 7.819057804908217]"
"[1.1482315015574809, 7.836513824359704]"
"[1.1482468067372824, 7.851290433103013]"
"[1.1483002278328251, 7.8686273327141345]"
"[1.1484281386539181, 7.883434355470218]"
"[1.1483086737456676, 7.8985879864420685]"
"[1.1483525007791624, 7.91620623789873]"
"[1.1482534087068823, 7.931337824092297]"
"[1.148288742011839, 7.948641679501433]"
"[1.1483830242717001, 7.96352187635104]"
"[1.1481603762531698, 7.981142158763831]"
"[1.148422575963002, 7.992989372419214]"
"[1.1482076143357771, 8.008533035213244]"
"[1.148305554474867, 8.022894657863592]"
"[1.1482450308735015, 8.035163043274359]"
"[1.1481820659617978, 8.052126319034917]"
"[1.1482152504378837, 8.066355481448106]"
"[1.148072673398096, 8.081553141606236]"
"[1.148194893166342, 8.09643986224967]"
"[1.1481647886737834, 8.111361140140481]"
"[1.148139275174404, 8.128673221916262]"
"[1.1479560391898216, 8.146151609859112]"
"[1.148046536892998, 8.161049393143456]"
"[1.1480502282783247, 8.178219103469072]"
"[1.148089874705953, 8.193263784481967]"
"[1.1478893446166696, 8.210529619454567]"
"[1.1479451831343157, 8.225663097033618]"
"[1.1479550895258777, 8.243143038777792]"
"[1.1477917685662702, 8.260239620138611]"
"[1.147663185145101, 8.275232320323491]"
"[1.14761959952835, 8.292450077665336]"
"[1.1476504766336602, 8.309738298171489]"
"[1.1477302562625002, 8.324371298066978]"
"[1.1474887013779844, 8.341815569961856]"
"[1.1475156015672436, 8.356597283250514]"
"[1.147545303726572, 8.373773422841838]"
"[1.147616765244112, 8.391050526341616]"
"[1.1474583459362102, 8.405924748300452]"
"[1.1474657792116465, 8.423335164679857]"
"[1.1474827073080125, 8.437851624254527]"
"[1.147483203403049, 8.453158497648698]"
"[1.1474866516515374, 8.470333408479567]"
"[1.1473985874155255, 8.485209982629133]"
"[1.1472417280168457, 8.49689759938565]"
"[1.1475258518504754, 8.511823139166577]"
"[1.147458749457852, 8.52576575814725]"
"[1.1474014069253742, 8.540573618967171]"
"[1.1474633127482676, 8.557146920304845]"
"[1.147372659487185, 8.569391292903955]"
"[1.1473820305293314, 8.58672035356459]"
"[1.1474166540287554, 8.601490322943228]"
"[1.1473161609053744, 8.61888547535878]"
"[1.1473797787161182, 8.63602012019974]"
"[1.1473836328028117, 8.651255311570857]"
"[1.1473429892314306, 8.668355794875172]"
"[1.1472869351216362, 8.683347160007902]"
"[1.147303324297804, 8.700685159978985]"
"[1.1473868919998231, 8.71549263845601]"
"[1.1473716972926107, 8.732596519403728]"
"[1.1474851436861357, 8.74756338124478]"
"[1.1473295103709298, 8.765032663703746]"
"[1.1474648493772879, 8.782063567427096]"
"[1.1475806442471623, 8.799118802655814]"
"[1.1478251555668848, 8.816438817323585]"
"[1.1476403146503502, 8.831405192965331]"
"[1.1478594994298172, 8.848404847849526]"
"[1.1480080328556626, 8.862966247527927]"
"[1.1480472720455652, 8.877209876605486]"
"[1.1481357727526276, 8.89361699639583]"
"[1.1481381148876337, 8.910974403151785]"
"[1.1481044386864157, 8.925018272416912]"
"[1.148314060309538, 8.939809832980814]"
"[1.148294089651035, 8.95331864297956]"
"[1.1483219713005883, 8.968219199544247]"
"[1.1484310043485761, 8.982517018100152]"
"[1.1484584060469962, 8.999607644403099]"
"[1.1485425587042812, 9.014497928899267]"
"[1.1485651264578314, 9.02943908971992]"
"[1.1485526560011354, 9.04663106169863]"
"[1.1486638678031127, 9.061067427893747]"
"[1.1487100819767515, 9.07579488256414]"
"[1.1488051618584418, 9.092260752912987]"
"[1.1488814688503857, 9.106452838016088]"
"[1.1488676142623455, 9.122929691121966]"
"[1.148872042106079, 9.137819249777104]"
"[1.148965993496027, 9.155129959037955]"
"[1.149102075058174, 9.17247823236591]"
"[1.1490778736102851, 9.190068244083728]"
"[1.149127517291466, 9.205154122865306]"
"[1.1492352111043624, 9.222616121379502]"
"[1.1493195252493231, 9.23977362503613]"
"[1.1491519965567167, 9.255064083387271]"
"[1.1493486786241187, 9.269936758624342]"
